,Country,Home ownership rate(%),Index Score
0,Russia,89.0,64.7
2,France,64.1,76.7
3,Spain,76.2,70.0
4,Sweden,64.5,83.5
5,Norway,80.3,83.6
6,Germany,51.1,78.8
7,Finland,70.7,83.6
8,Poland,84.2,69.1
9,Italy,72.4,67.4
10,United Kingdom,63.0,74.4
11,Romania,96.1,63.1
14,Greece,74.6,59.8
15,Bulgaria,84.3,63.8
16,Iceland,73.6,82.7
17,Hungary,91.3,65.8
18,Portugal,73.9,72.0
19,Serbia,83.3,63.8
20,Austria,55.3,80.1
21,Czech Republic,78.6,74.7
22,Ireland,68.7,75.0
23,Lithuania,90.3,70.5
24,Latvia,80.2,69.0
25,Croatia,89.7,66.7
27,Slovakia,90.9,68.5
28,Estonia,81.4,73.5
29,Denmark,60.8,85.2
30,Switzerland,41.6,82.1
31,Netherlands,69.0,82.4
33,Belgium,72.3,80.1
36,Turkey,58.8,51.3
37,Slovenia,74.6,76.4
41,Luxembourg,70.9,79.8
44,Malta,79.8,75.0
49,Cyprus,67.9,69.4
