Country,Indicator,Value
Australia,p0p50,.0616
Australia,p90p100,.5563
Australia,p99p100,.2269
Austria,p0p50,.0315
Austria,p90p100,.6142
Austria,p99p100,.2985
Belgium,p0p50,.0747
Belgium,p90p100,.5209
Belgium,p99p100,.1481
Canada,p0p50,.0589
Canada,p90p100,.5714
Canada,p99p100,.2405
Denmark,p0p50,.0403
Denmark,p90p100,.5063
Denmark,p99p100,.2146
Finland,p0p50,.0205
Finland,p90p100,.5576
Finland,p99p100,.18
France,p0p50,.0496
France,p90p100,.5893
France,p99p100,.2605
Germany,p0p50,.0339
Germany,p90p100,.5899
Germany,p99p100,.287
Hungary,p0p50,.039
Hungary,p90p100,.6727
Hungary,p99p100,.3347
Ireland,p0p50,-.0338
Ireland,p90p100,.661
Ireland,p99p100,.2323
Italy,p0p50,.0995
Italy,p90p100,.4767
Italy,p99p100,.1803
Japan,p0p50,.0575
Japan,p90p100,.5776
Japan,p99p100,.2446
Latvia,p0p50,.0596
Latvia,p90p100,.6055
Latvia,p99p100,.2852
Luxembourg,p0p50,.0434
Luxembourg,p90p100,.5935
Luxembourg,p99p100,.2878
Netherlands,p0p50,.0898
Netherlands,p90p100,.4771
Netherlands,p99p100,.1615
New Zealand,p0p50,.0614
New Zealand,p90p100,.5573
New Zealand,p99p100,.2262
Norway,p0p50,.0362
Norway,p90p100,.5221
Norway,p99p100,.227
Poland,p0p50,-.0074
Poland,p90p100,.6155
Poland,p99p100,.2981
Portugal,p0p50,.0353
Portugal,p90p100,.6058
Portugal,p99p100,.2554
Slovakia,p0p50,.074
Slovakia,p90p100,.4966
Slovakia,p99p100,.1746
Slovenia,p0p50,.0579
Slovenia,p90p100,.5723
Slovenia,p99p100,.2321
Spain,p0p50,.067
Spain,p90p100,.5739
Spain,p99p100,.2393
Sweden,p0p50,.0598
Sweden,p90p100,.5689
Sweden,p99p100,.2548
Switzerland,p0p50,.0377
Switzerland,p90p100,.6225000000000001
Switzerland,p99p100,.304
USA,p0p50,.015
USA,p90p100,.7067
USA,p99p100,.3487
United Kingdom,p0p50,.0466
United Kingdom,p90p100,.5699
United Kingdom,p99p100,.2104
